2018-04-02,Freeform Shows,THE PIONEER WOMAN ,1,1,Home on the Ranch,{'foodnetwork': ['0176686']}
2018-04-02,Freeform Shows,THE PIONEER WOMAN ,1,3,Cowgirls And Cowboys,{'foodnetwork': ['0176689']}
2018-04-02,Freeform Shows,THE PIONEER WOMAN ,1,1,Home on the Ranch,{'foodnetwork': ['0176686']}
2018-04-02,Freeform Shows,THE PIONEER WOMAN ,1,3,Cowgirls And Cowboys,{'foodnetwork': ['0176689']}
2018-04-02,Freeform Shows,THE PIONEER WOMAN ,2,2,All Stocked Up,{'foodnetwork': ['0176979']}
2018-04-02,Freeform Shows,THE PIONEER WOMAN ,2,2,All Stocked Up,{'foodnetwork': ['0176979']}
2018-04-02,Freeform Shows,THE PIONEER WOMAN ,2,2,All Stocked Up,{'foodnetwork': ['0176979']}
2018-04-02,Freeform Shows,THE PIONEER WOMAN ,2,2,All Stocked Up,{'foodnetwork': ['0176979']}
2018-04-02,Freeform Shows,THE PIONEER WOMAN ,2,2,All Stocked Up,{'foodnetwork': ['0176979']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,3,4,Paula Deen,{'foodnetwork': ['0101036']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,3,5,Pie,{'foodnetwork': ['0130628']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,3,6,Crab Cakes,{'foodnetwork': ['0130626']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,3,7,Muffaletta,{'foodnetwork': ['0100555']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,3,8,Blondies,{'foodnetwork': ['0177859']}
2018-04-05,Freeform Shows,THROWDOWN WITH BOBBY FLAY ,3,9,Meatballs,{'foodnetwork': ['0125714']}
