Scraped date,Category,movie title,Release year,Links,Credits
2018-04-10,TBS Movies,WARM BODIES,2013,{'tbs': ['2de4c356f10eb57483241fe132329e8e03b27f26']},"['Nicholas Hoult', 'Teresa Palmer', 'Dave Franco', 'Analeigh Tipton', 'Rob Corddry']"
2018-04-10,TBS Movies,LONDON HAS FALLEN,2016,{'tbs': ['68e5f4f736c135dc58023e0d4c0cd7a285f61613']},"['Gerard Butler', 'Morgan Freeman', 'Aaron Eckhart', 'Angela Bassett', 'Radha Mitchell']"
2018-04-10,TBS Movies,OLYMPUS HAS FALLEN,2016,{'tbs': ['c0297ac0c1d1da5397e6cdbab358bce6bc8e8b5b']},"['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman', 'Angela Bassett', 'Melissa Leo']"
2018-04-10,TBS Movies,SHREK,2001,{'tbs': ['57a703eaa940d7793df1818be159a34cf3ff04c8']},"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Cody Cameron', 'Conrad Vernon']"
2018-04-10,TBS Movies,SHREK THE THIRD,2007,{'tbs': ['6b339bc4889beed0454283e29874262289aa7d47']},"['Justin Timberlake', 'Cameron Diaz', 'Eddie Murphy', 'Mike Myers', 'Antonio Banderas']"
2018-04-10,TBS Movies,DEUCE BIGALOW: MALE GIGOLO,2007,{'tbs': ['c13e6acdfc045e7f9c1681f2ad3470f2cad928cc']},"['Rob Schneider', 'Eddie Griffin', 'Oded Fehr', 'Arija Bareikis', 'William Forsythe']"
2018-04-10,TBS Movies,AMERICAN WEDDING,2003,{'tbs': ['301fcac9e28ffce9dc9ba90c7ba9c85544658629']},"['Jason Biggs', 'Seann William Scott', 'Alyson Hannigan', 'Eugene Levy', 'Thomas Ian Nicholas']"
2018-04-10,TBS Movies,AMERICAN PIE 2,2001,{'tbs': ['f3a40f7b4f416b7bd6d3e4386bf303d6364d19f0']},"['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott', 'Chris Klein', 'Shannon Elizabeth']"
2018-04-10,TBS Movies,AMERICAN PIE,1999,{'tbs': ['7a2432fb48320c4fe378e0f45fbbd89f00dceef2']},"['Jason Biggs', 'Tara Reid', 'Alyson Hannigan', 'Seann William Scott', 'Eugene Levy']"
2018-04-10,TBS Movies,THE INTERN (THEATRICAL),2015,{'tbs': ['2bc6f79ef64ca52ac8b8c3f4a608d15956938523']},"['Anne Hathaway', 'Robert De Niro']"
2018-04-10,TBS Movies,THE CHANGE-UP,2011,{'tbs': ['202e76eb509e14fbfd7912936d24bfb87b4ba0fc']},"['Ryan Reynolds', 'Olivia Wilde', 'Jason Bateman', 'Leslie Mann', 'Alan Arkin']"
2018-04-10,TBS Movies,JUMANJI (THEATRICAL),2017,{'tbs': ['a906d8562d92634a81235c3447d9a42c6de57e87']},"['Karen Gillan','Dwayne Johnson']"
2018-04-10,TBS Movies,RACE TO WITCH MOUNTAIN,2009,{'tbs': ['40c68742ffc483638d9332ecd77d1d7fa5bae188']},"['Dwayne Johnson', 'AnnaSophia Robb', 'Alexander Ludwig', 'Carla Gugino', 'Kim Richards']"
2018-04-10,TBS Movies,FUN WITH DICK AND JANE,2005,{'tbs': ['2a1c05ddb93b5a998ae911861d23b35a490c34c9']},"['Jim Carrey', 'Ta Leoni', 'Alec Baldwin', 'Richard Jenkins', 'Angie Harmon']"
2018-04-10,TBS Movies,COWBOYS AND ALIENS,2011,{'tbs': ['ca6c40a19e70c9aff7f4dda27ff0dbad76e02a77']},"['Olivia Wilde', 'Daniel Craig', 'Harrison Ford', 'Sam Rockwell', 'Paul Dano']"
2018-04-10,TBS Movies,GET HARD,2015,{'tbs': ['2069307081c5ea2add25468a11c713d0a5d2973c']},"['Will Ferrell', 'Kevin Hart', 'Alison Brie', 'T.I.', 'Craig T. Nelson']"
2018-04-10,TBS Movies,ALVIN AND THE CHIPMUNKS: THE ROAD CHIP,2016,{'tbs': ['d8190afa81eff23d76e95c05a4ce152f57dff2d1']},"['Jason Lee', 'Justin Long', 'Matthew Gray', 'Bella Thorne', 'Jesse McCartney']"
2018-04-10,TBS Movies,PREMIUM RUSH,2012,{'tbs': ['731e961a2fe4b8a0b2d1eb3dfc558e1b7359761c']},"['Joseph Gordon-Levitt', 'Dania Ramirez', 'Michael Shannon', 'Jamie Chung', 'Aasif Mandvi']"
2018-04-10,TBS Movies,50 FIRST DATES,2004,{'tbs': ['37b29e9e3cc35a583121eaea7eb7b5c7977f11df']},"['Adam Sandler', 'Drew Barrymore', 'Rob Schneider', 'Sean Astin', 'Lusia Strus']"
2018-04-10,TBS Movies,DEATH AT A FUNERAL,2004,{'tbs': ['11b46013667e14d1055d495b002033a369f15f8a']},"['Chris Rock', 'Martin Lawrence', 'Peter Dinklage', 'Zoe Saldana', 'James Marsden']"
